,This Period,Year-to-Date
Beginning Account Value,"$147,593.80","$131,068.99"
Additions,,"$12,345.97"
Contributions,,"5,000.00"
Securities Transferred In,,"5,509.48"
Other Additions,,"1,836.49"
Subtractions,,"-$4,614.82"
Distributions,,"-4,065.21"
Securities Transferred Out,,-692.22
"Cards, Checking & Bill Payments",,-461.48
"Trans. Costs, Fees & Charges",,-230.74
Taxes Withheld,,-461.48
Other Subtractions,,-461.48
Change in Investment Value,"-$5,180.68","3,612.98"
Ending Account Value,"$142,413.12","$142,413.12"
