,This Period,Year-to-Date
Beginning Core Account Balance,"$27,907.16","$15,061.66"
INVESTMENT ACTIVITY,,
Securities Bought,"-22,712.90","-102,997.45"
Securities Sold,"25,801.00","155,987.33"
"Dividends, Interest and Other Income D","4,550.63","16,258.13"
Transaction Costs,-95.40,-445.18
Other Activity,594.10,"1,641.58"
Total Investment Activity,"$8,137.43","$70,444.41"
CASH MANAGEMENT ACTIVITY,,
Deposits,"9,465.00","55,000.00"
Withdrawals,"-5,485.00","-33,587.28"
Taxes Withheld,-963.01,"-4,520.22"
Checking Activity,"-24,432.10","-49,584.12"
Debit Card Activity,"-3,065.81","-14,388.77"
Bill Payments,"-6,345.05","-14,968.62"
Fees & Charges,-44.37,-325.69
Margin Interest,"-1,673.75","-19,670.87"
Total Cash Management Activity,"-$32,544.09","-$82,005.57"
Ending Core Account Balance,"$3,500.00","$3,500.00"
Taxable,$178.53,"$2,839.92"
Dividends,178.53,"1,548.74"
Interest,--,10.25
Short-term Capital Gains,--,255.68
Long-term Capital Gains,--,"1,025.25"
Tax-exempt,$372.10,"$3,354.74"
Dividends,--,"1,725.87"
Interest,372.10,"1,656.87"
Return of Capital,"$4,000.00","$8,500.00"
Liquidations,--,"$1,533.47"
Total,"$4,550.63","$16,258.13"
Net Short-term Gain/Loss,--,$115.89
Short-term Gain,--,255.68
Short-term Loss,--,-148.54
Short-term Disallowed Loss,--,8.75
Net Long-term Gain/Loss,--,507.97
Long-term Gain,--,"1,025.25"
Long-term Loss,--,-850.45
Long-term Disallowed Loss,--,333.17
Net Gain/Loss,--,$623.86
